#,ID,NAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,CHARGE,SMILES,MNXM_ID,chebi_id,kegg_id,metMetaNetXID_new,standard_smiles,inchikey0
,"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid[m]","(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid",,bigg.metabolite/micit;chebi/CHEBI:57429;kegg.compound/C04593;metanetx.chemical/MNXM1694;sbo/SBO:0000247,C7H7O7,,m,s_0012,-3.0,CC(O)(C(=O)O)C(CC(=O)O)C(=O)O,MNXM1694,CHEBI:57429,C04593,MNXM731524,CC(O)(C(=O)O)C(CC(=O)O)C(=O)O,HHKPKXCSHMJWCF
,"(5S,6S)-di-HETE[c]","(5S,6S)-di-HETE",,chebi/CHEBI:53026;metanetx.chemical/MNXM31306;sbo/SBO:0000247,C20H31O4,,c,s_0013,-1.0,CCCCCC=CCC=CC=CC=CC(O)C(O)CCCC(=O)O,MNXM31306,CHEBI:53026,,,CCCCCC=CCC=CC=CC=CC(O)C(O)CCCC(=O)O,UVZBUUTTYHTDRR
,"(5S,6S)-di-HETE[n]","(5S,6S)-di-HETE",,chebi/CHEBI:53026;metanetx.chemical/MNXM31306;sbo/SBO:0000247,C20H31O4,,n,s_0014,-1.0,CCCCCC=CCC=CC=CC=CC(O)C(O)CCCC(=O)O,MNXM31306,CHEBI:53026,,,CCCCCC=CCC=CC=CC=CC(O)C(O)CCCC(=O)O,UVZBUUTTYHTDRR
,(N(omega)-L-arginino)succinic acid[c],(N(omega)-L-arginino)succinic acid,,bigg.metabolite/argsuc;chebi/CHEBI:57472;kegg.compound/C03406;metanetx.chemical/MNXM722743;sbo/SBO:0000247,C10H17N4O6,,c,s_0015,-1.0,NC(=NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O,MNXM722743,CHEBI:57472,C03406,,NC(=NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O,KDZOASGQNOPSCU
,"(R)-2,3-dihydroxy-3-methylbutanoate[m]","(R)-2,3-dihydroxy-3-methylbutanoate",,bigg.metabolite/23dhmb;chebi/CHEBI:49072;kegg.compound/C04272;metanetx.chemical/MNXM114097;sbo/SBO:0000247,C5H9O4,,m,s_0016,-1.0,CC(C)(O)C(O)C(=O)[O-],MNXM114097,CHEBI:49072,C04272,MNXM734,CC(C)(O)C(O)C(=O)[O-],JTEYKUFKXGDTEU
,(R)-4'-phosphopantothenic acid[c],(R)-4'-phosphopantothenic acid,,bigg.metabolite/4ppan;chebi/CHEBI:15905;kegg.compound/C03492;metanetx.chemical/MNXM415;sbo/SBO:0000247,C9H15NO8P,,c,s_0017,-3.0,CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)O,MNXM415,CHEBI:15905,C03492,MNXM735771,CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)O,XHFVGHPGDLDEQO
,(R)-5-diphosphomevalonic acid[c],(R)-5-diphosphomevalonic acid,,bigg.metabolite/5dpmev;chebi/CHEBI:57557;kegg.compound/C01143;metanetx.chemical/MNXM689;sbo/SBO:0000247,C6H10O10P2,,c,s_0018,-4.0,CC(O)(CCOP(=O)(O)OP(=O)(O)O)CC(=O)O,MNXM689,CHEBI:57557,C01143,MNXM733934,CC(O)(CCOP(=O)(O)OP(=O)(O)O)CC(=O)O,SIGQQUBJQXSAMW
,(R)-5-phosphomevalonic acid[c],(R)-5-phosphomevalonic acid,,bigg.metabolite/5pmev;chebi/CHEBI:58146;kegg.compound/C01107;metanetx.chemical/MNXM567;sbo/SBO:0000247,C6H10O7P,,c,s_0019,-3.0,CC(O)(CCOP(=O)(O)O)CC(=O)O,MNXM567,CHEBI:58146,C01107,MNXM738283,CC(O)(CCOP(=O)(O)O)CC(=O)O,OKZYCXHTTZZYSK
,(R)-acetoin[c],(R)-acetoin,,bigg.metabolite/actn__R;chebi/CHEBI:15686;kegg.compound/C00810;metanetx.chemical/MNXM664;sbo/SBO:0000247,C4H8O2,,c,s_0020,0.0,CC(=O)C(C)O,MNXM664,CHEBI:15686,C00810,,CC(=O)C(C)O,ROWKJAVDOGWPAT
,(R)-carnitine[c],(R)-carnitine,,bigg.metabolite/crn;chebi/CHEBI:16347;kegg.compound/C00318;metanetx.chemical/MNXM173;sbo/SBO:0000247,C7H15NO3,,c,s_0021,0.0,C[N+](C)(C)CC(O)CC(=O)[O-],MNXM173,CHEBI:16347,C00318,MNXM731666,C[N+](C)(C)CC(O)CC(=O)[O-],PHIQHXFUZVPYII
,(R)-carnitine[e],(R)-carnitine,,bigg.metabolite/crn;chebi/CHEBI:16347;kegg.compound/C00318;metanetx.chemical/MNXM173;sbo/SBO:0000247,C7H15NO3,,e,s_0022,0.0,C[N+](C)(C)CC(O)CC(=O)[O-],MNXM173,CHEBI:16347,C00318,MNXM731666,C[N+](C)(C)CC(O)CC(=O)[O-],PHIQHXFUZVPYII
,(R)-carnitine[m],(R)-carnitine,,bigg.metabolite/crn;chebi/CHEBI:16347;kegg.compound/C00318;metanetx.chemical/MNXM173;sbo/SBO:0000247,C7H15NO3,,m,s_0023,0.0,C[N+](C)(C)CC(O)CC(=O)[O-],MNXM173,CHEBI:16347,C00318,MNXM731666,C[N+](C)(C)CC(O)CC(=O)[O-],PHIQHXFUZVPYII
,(R)-carnitine[p],(R)-carnitine,,bigg.metabolite/crn;chebi/CHEBI:16347;kegg.compound/C00318;metanetx.chemical/MNXM173;sbo/SBO:0000247,C7H15NO3,,p,s_0024,0.0,C[N+](C)(C)CC(O)CC(=O)[O-],MNXM173,CHEBI:16347,C00318,MNXM731666,C[N+](C)(C)CC(O)CC(=O)[O-],PHIQHXFUZVPYII
,(R)-lactate[c],(R)-lactate,,bigg.metabolite/lac__D;chebi/CHEBI:16004;kegg.compound/C00256;metanetx.chemical/MNXM285;sbo/SBO:0000247,C3H5O3,,c,s_0025,-1.0,CC(O)C(=O)O,MNXM285,CHEBI:16004,C00256,MNXM731834,CC(O)C(=O)O,JVTAAEKCZFNVCJ
,(R)-lactate[e],(R)-lactate,,bigg.metabolite/lac__D;chebi/CHEBI:16004;kegg.compound/C00256;metanetx.chemical/MNXM285;sbo/SBO:0000247,C3H5O3,,e,s_0026,-1.0,CC(O)C(=O)O,MNXM285,CHEBI:16004,C00256,MNXM731834,CC(O)C(=O)O,JVTAAEKCZFNVCJ
,(R)-lactate[m],(R)-lactate,,bigg.metabolite/lac__D;chebi/CHEBI:16004;kegg.compound/C00256;metanetx.chemical/MNXM285;sbo/SBO:0000247,C3H5O3,,m,s_0027,-1.0,CC(O)C(=O)O,MNXM285,CHEBI:16004,C00256,MNXM731834,CC(O)C(=O)O,JVTAAEKCZFNVCJ
,(R)-mevalonate[c],(R)-mevalonate,,bigg.metabolite/mev__R;chebi/CHEBI:36464;kegg.compound/C00418;metanetx.chemical/MNXM333;sbo/SBO:0000247,C6H11O4,,c,s_0028,-1.0,CC(O)(CCO)CC(=O)[O-],MNXM333,CHEBI:36464,C00418,MNXM734275,CC(O)(CCO)CC(=O)[O-],KJTLQQUUPVSXIM
,(R)-mevalonate[e],(R)-mevalonate,,bigg.metabolite/mev__R;chebi/CHEBI:36464;kegg.compound/C00418;metanetx.chemical/MNXM333;sbo/SBO:0000247,C6H11O4,,e,s_0029,-1.0,CC(O)(CCO)CC(=O)[O-],MNXM333,CHEBI:36464,C00418,MNXM734275,CC(O)(CCO)CC(=O)[O-],KJTLQQUUPVSXIM
,(R)-pantoate[c],(R)-pantoate,,bigg.metabolite/pant__R;chebi/CHEBI:15980;kegg.compound/C00522;metanetx.chemical/MNXM593;sbo/SBO:0000247,C6H11O4,,c,s_0030,-1.0,CC(C)(CO)C(O)C(=O)[O-],MNXM593,CHEBI:15980,C00522,,CC(C)(CO)C(O)C(=O)[O-],OTOIIPJYVQJATP
,(R)-pantothenate[c],(R)-pantothenate,,bigg.metabolite/pnto__R;chebi/CHEBI:29032;kegg.compound/C00864;metanetx.chemical/MNXM364;sbo/SBO:0000247,C9H16NO5,,c,s_0031,-1.0,CC(C)(CO)C(O)C(=O)NCCC(=O)O,MNXM364,CHEBI:29032,C00864,MNXM734864,CC(C)(CO)C(O)C(=O)NCCC(=O)O,GHOKWGTUZJEAQD
,(R)-pantothenate[e],(R)-pantothenate,,bigg.metabolite/pnto__R;chebi/CHEBI:29032;kegg.compound/C00864;metanetx.chemical/MNXM364;sbo/SBO:0000247,C9H16NO5,,e,s_0032,-1.0,CC(C)(CO)C(O)C(=O)NCCC(=O)O,MNXM364,CHEBI:29032,C00864,MNXM734864,CC(C)(CO)C(O)C(=O)NCCC(=O)O,GHOKWGTUZJEAQD
,(R)-S-lactoylglutathione[c],(R)-S-lactoylglutathione,,bigg.metabolite/lgt__S;chebi/CHEBI:57474;kegg.compound/C03451;metanetx.chemical/MNXM1253;sbo/SBO:0000247,C13H20N3O8S,,c,s_0033,-1.0,CC(O)C(=O)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,MNXM1253,CHEBI:57474,C03451,MNXM727551,CC(O)C(=O)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,VDYDCVUWILIYQF
,(R)-S-lactoylglutathione[m],(R)-S-lactoylglutathione,,bigg.metabolite/lgt__S;chebi/CHEBI:57474;kegg.compound/C03451;metanetx.chemical/MNXM1253;sbo/SBO:0000247,C13H20N3O8S,,m,s_0034,-1.0,CC(O)C(=O)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,MNXM1253,CHEBI:57474,C03451,MNXM727551,CC(O)C(=O)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,VDYDCVUWILIYQF
,"(R,R)-2,3-butanediol[c]","(R,R)-2,3-butanediol",,bigg.metabolite/btd_RR;chebi/CHEBI:16982;kegg.compound/C03044;metanetx.chemical/MNXM2757;sbo/SBO:0000247,C4H10O2,,c,s_0035,0.0,CC(O)C(C)O,MNXM2757,CHEBI:16982,C03044,,CC(O)C(C)O,OWBTYPJTUOEWEK
,"(R,R)-2,3-butanediol[e]","(R,R)-2,3-butanediol",,bigg.metabolite/btd_RR;chebi/CHEBI:16982;kegg.compound/C03044;metanetx.chemical/MNXM2757;sbo/SBO:0000247,C4H10O2,,e,s_0036,0.0,CC(O)C(C)O,MNXM2757,CHEBI:16982,C03044,,CC(O)C(C)O,OWBTYPJTUOEWEK
,"(S)-2,3-epoxysqualene[c]","(S)-2,3-epoxysqualene",,bigg.metabolite/Ssq23epx;chebi/CHEBI:15441;kegg.compound/C01054;metanetx.chemical/MNXM130;sbo/SBO:0000247,C30H50O,,c,s_0037,0.0,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,MNXM130,CHEBI:15441,C01054,MNXM727928,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,QYIMSPSDBYKPPY
,"(S)-2,3-epoxysqualene[er]","(S)-2,3-epoxysqualene",,bigg.metabolite/Ssq23epx;chebi/CHEBI:15441;kegg.compound/C01054;metanetx.chemical/MNXM130;sbo/SBO:0000247,C30H50O,,er,s_0038,0.0,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,MNXM130,CHEBI:15441,C01054,MNXM727928,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,QYIMSPSDBYKPPY
,(S)-2-acetyl-2-hydroxybutanoate[m],(S)-2-acetyl-2-hydroxybutanoate,,bigg.metabolite/2ahbut;chebi/CHEBI:49256;kegg.compound/C06006;metanetx.chemical/MNXM114220;sbo/SBO:0000247,C6H9O4,,m,s_0039,-1.0,CCC(O)(C(C)=O)C(=O)[O-],MNXM114220,CHEBI:49256,C06006,MNXM726902,CCC(O)(C(C)=O)C(=O)[O-],VUQLHQFKACOHNZ
,(R)-3-hydroxydecanoyl-CoA[p],(R)-3-hydroxydecanoyl-CoA,,bigg.metabolite/3hdcoa;chebi/CHEBI:28325;kegg.compound/C05264;metanetx.chemical/MNXM674;sbo/SBO:0000247,C31H50N7O18P3S,,p,s_0042,-4.0,CCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,MNXM674,CHEBI:28325,C05264,MNXM739356,CCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,HIVSMYZAMUNFKZ
,(S)-3-hydroxyhexacosanoyl-CoA[p],(S)-3-hydroxyhexacosanoyl-CoA,,chebi/CHEBI:52976;metanetx.chemical/MNXM31741;sbo/SBO:0000247,C47H82N7O18P3S,,p,s_0045,-4.0,CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,MNXM31741,CHEBI:52976,,MNXM727165,CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,GBMJOTOUUWGTIA
,(R)-3-hydroxylauroyl-CoA[p],(R)-3-hydroxylauroyl-CoA,,bigg.metabolite/3hddcoa;chebi/CHEBI:27668;kegg.compound/C05262;metanetx.chemical/MNXM733;sbo/SBO:0000247,C33H54N7O18P3S,,p,s_0048,-4.0,CCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,MNXM733,CHEBI:27668,C05262,MNXM739911,CCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,IJFLXRCJWPKGKJ
,(S)-3-hydroxypalmitoyl-CoA[p],(S)-3-hydroxypalmitoyl-CoA,,bigg.metabolite/3hhdcoa;chebi/CHEBI:27402;kegg.compound/C05258;metanetx.chemical/MNXM825;sbo/SBO:0000247,C37H62N7O18P3S,,p,s_0051,-4.0,CCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,MNXM825,CHEBI:27402,C05258,MNXM1104863,CCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,DEHLMTDDPWDRDR
,(S)-3-hydroxytetradecanoyl-CoA[p],(S)-3-hydroxytetradecanoyl-CoA,,bigg.metabolite/3htdcoa;chebi/CHEBI:27466;kegg.compound/C05260;metanetx.chemical/MNXM767;sbo/SBO:0000247,C35H58N7O18P3S,,p,s_0054,-4.0,CCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,MNXM767,CHEBI:27466,C05260,MNXM740095,CCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,OXBHKMHNDGRDCZ
,(S)-3-methyl-2-oxopentanoate[c],(S)-3-methyl-2-oxopentanoate,,bigg.metabolite/3mop;chebi/CHEBI:35146;kegg.compound/C00671;metanetx.chemical/MNXM439;sbo/SBO:0000247,C6H9O3,,c,s_0056,-1.0,CCC(C)C(=O)C(=O)O,MNXM439,CHEBI:35146,C00671,MNXM1103447,CCC(C)C(=O)C(=O)O,JVQYSWDUAOAHFM
,(S)-3-methyl-2-oxopentanoate[e],(S)-3-methyl-2-oxopentanoate,,bigg.metabolite/3mop;chebi/CHEBI:35146;kegg.compound/C00671;metanetx.chemical/MNXM439;sbo/SBO:0000247,C6H9O3,,e,s_0058,-1.0,CCC(C)C(=O)C(=O)O,MNXM439,CHEBI:35146,C00671,MNXM1103447,CCC(C)C(=O)C(=O)O,JVQYSWDUAOAHFM
,(S)-3-methyl-2-oxopentanoate[m],(S)-3-methyl-2-oxopentanoate,,bigg.metabolite/3mop;chebi/CHEBI:35146;kegg.compound/C00671;metanetx.chemical/MNXM439;sbo/SBO:0000247,C6H9O3,,m,s_0060,-1.0,CCC(C)C(=O)C(=O)O,MNXM439,CHEBI:35146,C00671,MNXM1103447,CCC(C)C(=O)C(=O)O,JVQYSWDUAOAHFM
,(S)-dihydroorotate[c],(S)-dihydroorotate,,bigg.metabolite/dhor__S;chebi/CHEBI:30864;kegg.compound/C00337;metanetx.chemical/MNXM252;sbo/SBO:0000247,C5H5N2O4,,c,s_0061,-1.0,O=C1CC(C(=O)O)NC(=O)N1,MNXM252,CHEBI:30864,C00337,,O=C1CC(C(=O)O)NC(=O)N1,UFIVEPVSAGBUSI
,(S)-lactaldehyde[c],(S)-lactaldehyde,,bigg.metabolite/lald__L;chebi/CHEBI:18041;kegg.compound/C00424;metanetx.chemical/MNXM2387;sbo/SBO:0000247,C3H6O2,,c,s_0062,0.0,CC(O)C=O,MNXM2387,CHEBI:18041,C00424,MNXM732880,CC(O)C=O,BSABBBMNWQWLLU
,(S)-lactate[c],(S)-lactate,,bigg.metabolite/lac__L;chebi/CHEBI:16651;kegg.compound/C00186;metanetx.chemical/MNXM179;sbo/SBO:0000247,C3H5O3,,c,s_0063,-1.0,CC(O)C(=O)O,MNXM179,CHEBI:16651,C00186,MNXM731834,CC(O)C(=O)O,JVTAAEKCZFNVCJ
,(S)-lactate[e],(S)-lactate,,bigg.metabolite/lac__L;chebi/CHEBI:16651;kegg.compound/C00186;metanetx.chemical/MNXM179;sbo/SBO:0000247,C3H5O3,,e,s_0064,-1.0,CC(O)C(=O)O,MNXM179,CHEBI:16651,C00186,MNXM731834,CC(O)C(=O)O,JVTAAEKCZFNVCJ
,(S)-lactate[m],(S)-lactate,,bigg.metabolite/lac__L;chebi/CHEBI:16651;kegg.compound/C00186;metanetx.chemical/MNXM179;sbo/SBO:0000247,C3H5O3,,m,s_0065,-1.0,CC(O)C(=O)O,MNXM179,CHEBI:16651,C00186,MNXM731834,CC(O)C(=O)O,JVTAAEKCZFNVCJ
,(S)-malate[c],(S)-malate,,bigg.metabolite/mal__L;chebi/CHEBI:15589;kegg.compound/C00149;metanetx.chemical/MNXM98;sbo/SBO:0000247,C4H4O5,,c,s_0066,-2.0,O=C(O)CC(O)C(=O)O,MNXM98,CHEBI:15589,C00149,MNXM1107192,O=C(O)CC(O)C(=O)O,BJEPYKJPYRNKOW
,(S)-malate[e],(S)-malate,,bigg.metabolite/mal__L;chebi/CHEBI:15589;kegg.compound/C00149;metanetx.chemical/MNXM98;sbo/SBO:0000247,C4H4O5,,e,s_0067,-2.0,O=C(O)CC(O)C(=O)O,MNXM98,CHEBI:15589,C00149,MNXM1107192,O=C(O)CC(O)C(=O)O,BJEPYKJPYRNKOW
,(S)-malate[m],(S)-malate,,bigg.metabolite/mal__L;chebi/CHEBI:15589;kegg.compound/C00149;metanetx.chemical/MNXM98;sbo/SBO:0000247,C4H4O5,,m,s_0068,-2.0,O=C(O)CC(O)C(=O)O,MNXM98,CHEBI:15589,C00149,MNXM1107192,O=C(O)CC(O)C(=O)O,BJEPYKJPYRNKOW
,(S)-malate[p],(S)-malate,,bigg.metabolite/mal__L;chebi/CHEBI:15589;kegg.compound/C00149;metanetx.chemical/MNXM98;sbo/SBO:0000247,C4H4O5,,p,s_0069,-2.0,O=C(O)CC(O)C(=O)O,MNXM98,CHEBI:15589,C00149,MNXM1107192,O=C(O)CC(O)C(=O)O,BJEPYKJPYRNKOW
,"1,3-bisphospho-D-glycerate[c]","1,3-bisphospho-D-glycerate",,bigg.metabolite/13dpg;chebi/CHEBI:57604;kegg.compound/C00236;metanetx.chemical/MNXM261;sbo/SBO:0000247,C3H4O10P2,,c,s_0075,-4.0,O=C(OP(=O)(O)O)C(O)COP(=O)(O)O,MNXM261,CHEBI:57604,C00236,MNXM733151,O=C(OP(=O)(O)O)C(O)COP(=O)(O)O,LJQLQCAXBUHEAZ
,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate[c],1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,bigg.metabolite/2cpr5p;chebi/CHEBI:58613;kegg.compound/C01302;metanetx.chemical/MNXM1455;sbo/SBO:0000247,C12H13NO9P,,c,s_0076,-3.0,O=C(O)c1ccccc1NCC(=O)C(O)C(O)COP(=O)(O)O,MNXM1455,CHEBI:58613,C01302,,O=C(O)c1ccccc1NCC(=O)C(O)C(O)COP(=O)(O)O,QKMBYNRMPRKVTO
,1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide[c],1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide,,bigg.metabolite/prfp;chebi/CHEBI:58435;kegg.compound/C04896;metanetx.chemical/MNXM1397;sbo/SBO:0000247,C15H21N5O15P2,,c,s_0077,-4.0,NC(=O)c1ncn([C@@H]2O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]2O)c1\N=C\N[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O,MNXM1397,CHEBI:58435,C04896,,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1/N=C/N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,QOUSHGMTBIIAHR
,1-(5-phosphoribosyl)-5'-AMP[c],1-(5-phosphoribosyl)-5'-AMP,,bigg.metabolite/prbamp;chebi/CHEBI:59457;kegg.compound/C02741;metanetx.chemical/MNXM1515;sbo/SBO:0000247,C15H19N5O14P2,,c,s_0078,-4.0,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP([O-])([O-])=O)n1cnc2c1ncn([C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O)c2=N,MNXM1515,CHEBI:59457,C02741,MNXM729421,N=c1c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,RTQMRTSPTLIIHM
